artist,album,release_date,track_number,song,genre,duration
Big Chungus,Broil,1915-4-26,1,Truths Defection,Blues,00:3:59
Big Chungus,Broil,1915-4-26,2,Pull,Blues,00:3:33
Big Chungus,Broil,1915-4-26,3,Interviewers Brushes,Blues,00:5:31
Big Chungus,Broil,1915-4-26,4,Wish,Blues,00:3:13
Big Chungus,Broil,1915-4-26,5,Spoil,Jazz,00:3:09
Big Chungus,Broil,1915-4-26,6,Whispers Men,Blues,00:4:43
Big Chungus,Broil,1915-4-26,7,Row Exchanges,Blues,00:3:14
Big Chungus,Broil,1915-4-26,8,Leap,Blues,00:4:49
Big Chungus,Dehydrated the Scratch,1924-12-9,1,Crush Weapons,Soul,00:3:12
Big Chungus,Dehydrated the Scratch,1924-12-9,2,Hoot,Soul,00:3:28
Big Chungus,Dehydrated the Scratch,1924-12-9,3,Lessons,Blues,00:1:28
Big Chungus,Dehydrated the Scratch,1924-12-9,4,Follow,Blues,00:1:36
Big Chungus,Dehydrated the Scratch,1924-12-9,5,Thump Texts,Soul,00:0:20
Big Chungus,Dehydrated the Scratch,1924-12-9,6,Syntax,Soul,00:0:47
Big Chungus,Dehydrated the Scratch,1924-12-9,7,Paddle Hiss,Blues,00:4:04
Big Chungus,Dehydrated the Scratch,1924-12-9,8,Video Blazes,Soul,00:2:33
Big Chungus,Dehydrated the Scratch,1924-12-9,9,Stamp Forces,Blues,00:4:46
Josh Yoder,Energize,1990-10-2,1,Wail Climb,Blues,00:3:45
Josh Yoder,Energize,1990-10-2,2,Hitch,Zouk and Tropical,00:5:09
Josh Yoder,Energize,1990-10-2,3,Pull Cot,Zouk and Tropical,00:2:12
Josh Yoder,Energize,1990-10-2,4,Transmissions Technology,Blues,00:1:34
Josh Yoder,Energize,1990-10-2,5,Bark,Zouk and Tropical,00:3:55
Josh Yoder,Energize,1990-10-2,6,Hop Weep,Blues,00:2:32
Josh Yoder,Do,2003-10-8,1,Juggle,Blues,00:5:50
Josh Yoder,Do,2003-10-8,2,Fry Rings,Blues,00:1:58
Josh Yoder,Do,2003-10-8,3,Methods Coxswain,Zouk and Tropical,00:1:15
Josh Yoder,Capturing Your Funding,1993-9-9,1,Cry Slide,Zouk and Tropical,00:5:53
